#SampleID	PC1	PC2	PC3	PC4	PC5	PC6
Plate1-F7	-0.0024898621	0.0744770284	-0.0258889235	0.0412675732	-0.0348684992	0.0007307084
Plate2-B8	-0.1760063962	0.0356486792	-0.0759996328	-0.0377905621	-0.0037429875	-0.0117842081
Plate2-C8	-0.1575418074	0.0926898402	-0.05156544	-0.0075664302	-0.020839369	-0.0529137075
Plate1-A9	-0.0314086103	-0.1124665444	0.0348417047	-0.0118010425	-0.0589155356	0.0446386546
Plate1-F12	-0.0261345991	0.0100465006	0.0003201093	0.0168206555	-0.0170486542	0.0065621771
Plate1-E6	0.0170031495	0.0133144997	-0.0033756168	0.0514641178	-0.0282375035	-0.0398367676
Plate1-A6	0.2797436853	0.0666918312	0.0368514086	-0.0343031313	-0.0090962997	0.004667438
Plate1-B9	0.1118088421	0.1161115048	-0.0371647177	0.0354075015	0.0185267138	0.0997044861
Plate2-A4	-0.1774448824	-0.0504006046	-0.0308983373	-0.0711122939	-0.0027307423	0.0970512251
Plate1-C12	-0.0776131205	-0.0628080542	0.0068398827	0.0261779684	-0.0195574534	0.0788544136
Plate1-C7	0.0029369494	-0.0688887742	0.0186442048	0.0623630855	0.0112576408	0.013025492
Plate1-G9	-0.0064887794	-0.1411841166	0.0125476565	-0.0737254151	-0.0343870788	0.0145493051
Plate2-D6	-0.0825564314	-0.0890134125	-0.0547580204	-0.0063547546	-0.0324254123	0.0415533208
Plate1-G12	-0.0182365165	-0.1008038223	-0.0635372177	-0.0199802255	0.0287473847	0.0095218441
Plate1-G6	-0.0232067596	-0.0595999403	0.0018281228	0.0828494823	-0.0360398058	0.0048401677
Plate2-C3	-0.1445588459	-0.0061444519	-0.0816777617	-0.0100077148	-0.0246673746	0.0248947813
Plate2-E6	-0.0652481104	0.0881859109	-0.1117978788	0.0257892133	-0.0353107922	-0.0213019742
Plate1-E9	0.1220886469	0.0431771173	0.0466922461	-0.0773721699	0.0264284732	0.0040544896
Plate1-C6	0.1559352016	0.1582495664	-0.0252864866	0.0044177905	-0.0635432444	0.0924930274
Plate1-H6	-0.1130178918	0.0526137842	0.0104791615	0.0554941078	-0.0145245339	-0.0107793893
Plate1-D7	0.0693362005	-0.0348532303	0.020637178	0.0281653554	0.0480138966	-0.0347769587
Plate1-H5	0.2408478917	0.0951972167	0.0539745207	-0.0415694453	-0.0087101777	0.0094175603
Plate1-D9	0.182909702	0.0584829779	-0.0032241465	0.007741567	0.0226441591	-0.0206057303
Plate1-G5	0.2289502786	0.1012559749	-0.0159879054	-0.1508104421	0.0144682411	0.0196219923
Plate2-A8	-0.2356643962	0.1846801069	-0.1109800252	-0.0878420101	0.1513707804	0.0044902556
Plate1-D8	0.2374614067	0.0939290529	-0.0007158632	0.053332371	0.0243721887	0.0386720822
Plate2-B4	-0.1322400923	0.0758693249	-0.1147528559	0.0286174242	0.0643785875	-0.0249320124
Plate2-D2	-0.0334054712	0.0717679593	0.0022446207	8.18851964892E-05	-0.0711009394	-0.0496823392
Plate1-D12	0.0482508841	-0.0395693756	0.0423676413	0.0327405275	0.0458470178	-0.0091301429
Plate1-C10	0.0344584764	-0.015280483	0.0371401233	-0.0185465457	-0.0009639135	-0.0400962583
Plate2-C4	-0.051686801	0.0351984545	0.0037009271	0.1025002063	-0.0009215875	-0.0018757204
Plate1-D11	-0.3427177054	-0.0549152395	0.2914496959	-0.0429199152	0.0220568407	0.0708039606
Plate2-D3	-0.3303511361	0.1207352531	0.2567220349	-0.0003567204	0.0621736912	-0.0350630579
Plate1-A8	-0.0213049709	0.05118425	-0.0133199446	0.0534781428	-0.0556621927	-0.0379199807
Plate2-C2	-0.0603287097	0.0585841103	0.003222676	-0.0037929934	-0.0685412933	-0.0347550129
Plate1-E10	-0.048039506	-0.0506411344	-0.0109256088	-0.0568187838	-0.0207699637	0.0111642438
Plate1-B7	0.0453338872	0.0070091711	0.0414191787	-0.0405386992	-0.0083719428	-0.049596953
Plate1-H9	0.0467841835	-0.0777139084	-0.0255406876	-0.0182132718	0.0582088548	-0.0589441825
Plate2-G6	-0.175895866	0.0491630415	-0.1014502901	-0.0578607375	-0.0263311092	-0.0305487182
Plate2-F6	-0.1192224503	0.1332963202	-0.1217249836	-0.0270200303	0.0009110635	-0.0407534179
Plate2-B2	-0.0644977398	0.0577014069	-0.068575296	-0.0386979932	0.0117524781	0.0036134795
Plate2-F7	-0.2834330417	0.297513359	0.1666821439	0.0056680016	0.0056111272	-0.0102575059
Plate2-E7	0.001475668	-0.0106374299	-0.0865963164	-0.0297291521	0.0558256026	-0.0248886102
Plate1-A12	-0.1314843683	-0.1381926497	-0.109072706	0.0139819386	0.0232392374	0.0784203133
Plate2-G7	-0.0067146924	-0.0289162153	0.0325582102	0.0027628677	-0.0065786585	-0.0004593383
Plate2-F3	-0.0921275376	0.0060007019	0.0108683644	0.0597690438	0.0995071412	0.0435935541
Plate2-E3	-0.0055441976	-0.0020864834	0.0313695537	0.0343108615	0.0027103401	0.0104080586
Plate1-G7	0.0825276081	-0.0777499716	0.0383379943	0.0046540562	0.0396682937	-0.0582470002
Plate2-D8	-0.1111292096	0.0732974196	-0.0156175799	0.0275855516	0.0668176371	0.009966979
Plate2-G3	-0.1343221505	-0.0209037477	-0.0154822424	-0.0090244276	-0.0855855448	0.0458490822
Plate2-H7	0.0584662789	-0.1022796991	0.0475527166	-0.0162345137	0.012885534	-0.0526639962
Plate1-E12	-0.0029021173	-0.0572378545	-0.0102627629	0.0097331026	0.0245820364	0.0359023122
Plate1-B11	0.0246901024	-0.0739024078	0.0304467761	0.0086014481	-0.0025551364	-0.0014044004
Plate2-E2	0.0173776099	0.0140179912	-0.0235276375	0.0172132658	-0.00397629	-0.0306496961
Plate1-F11	0.006459979	-0.0779787663	0.0181976433	0.0518907441	-0.0125084012	0.016736842
Plate1-B12	-0.0746695118	-0.1139049026	-0.1372071655	0.041973947	0.0152713506	-8.68318396944E-05
Plate1-F8	-0.0021043903	-0.0262240333	0.0155717683	-0.019806587	-0.0284994165	-0.0113101666
Plate1-H7	0.0039455199	0.0409164748	0.0012841302	0.031387412	-0.0569068915	-0.0402203043
Plate1-A11	0.0822079933	-0.1529436919	0.047018341	0.0355164316	0.0298891653	-0.0408259498
Plate1-H11	-0.0407337035	-0.0319464241	-0.0584839208	0.0084299767	0.0020973919	-0.0037035685
Plate1-F6	-0.0320318799	-0.0205117059	0.0175871257	0.0207281945	-0.0436797412	0.0157526045
Plate1-F9	0.2141354113	0.0375884621	0.0043664069	0.0186331784	0.0255272064	-0.0363885746
Plate1-C11	-0.0165136305	-0.0937441026	-0.0344972892	-0.007360067	-0.0055943428	0.0005762869
Plate1-B8	0.2002507563	0.1061908008	-0.0101298294	0.0096089956	0.0234821444	0.0518448951
Plate1-E7	-0.0175755643	0.0661082803	-0.0173113114	0.0995243578	-0.0175156064	-0.0049197606
Plate1-H10	-0.0074993832	-0.0794464179	0.0214466524	0.0501105121	-0.0097193758	0.0059625716
Plate1-E8	0.2724245304	0.0436523129	0.0472596523	0.0179580876	0.0715176683	0.06364556
Plate1-G11	-0.0063660162	-0.1409832697	0.0373670824	-0.1129681117	-0.0303222769	0.014517336
Plate1-E11	0.0509284072	-0.0651959662	0.0340789439	0.0179568921	0.0081538596	-0.0419122245
Plate1-C9	0.138369915	0.0790813375	0.0375407746	-0.0474640236	0.0032379457	0.0132427353
