	Kingdom	Phylum	Class	Order	Family	Genus	Species
104	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
25	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
94	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
23	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	NA
88	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
106	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
99	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
24	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
49	Bacteria	NA	NA	NA	NA	NA	NA
92	Bacteria	NA	NA	NA	NA	NA	NA
124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
72	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
31	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
123	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
67	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
53	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	NA
126	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	oxytoca
154	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	NA
54	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	cocleatum
153	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	NA
69	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	NA
32	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	NA
157	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
176	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
102	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	NA
95	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sporobacterium	NA
48	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	NA
50	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
26	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
55	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	NA
96	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA
80	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	NA
101	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
43	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	valericigenes
56	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	NA
188	Bacteria	Firmicutes	NA	NA	NA	NA	NA
110	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Moryella	NA
97	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
167	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	NA
83	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
120	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
73	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
211	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA	NA
151	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	NA
58	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
44	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	NA
105	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
39	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
